combo,mrpc,boolq,rte,cola,cb,scitail,stsb,cr,rotten_tomatoes,multirc,copa,piqa
qnli+snli+anli_r1+squad_v2+hellaswag,0.32107843137254904,0.5972477064220183,0.5812274368231047,0.5043144774688398,0.75,0.5479774223894638,0.30306257254886443,0.8297872340425532,0.8020637898686679,0.5711633663366337,0.62,0.40369967355821545
qnli+snli+anli_r1+squad_v2+winogrande,0.32107843137254904,0.5944954128440367,0.5884476534296029,0.4697986577181208,0.75,0.5522107243650047,0.3292843083570158,0.8324468085106383,0.7964352720450282,0.5965346534653465,0.5,0.20946681175190424
qnli+snli+imdb+hellaswag+winogrande,0.31862745098039214,0.5088685015290519,0.5523465703971119,0.5743048897411314,0.6785714285714286,0.5747883349012229,0.4185322980183973,0.8909574468085106,0.8696060037523452,0.534447194719472,0.72,0.6528835690968444
qnli+snli+imdb+squad_v2+hellaswag,0.31862745098039214,0.5617737003058104,0.5776173285198556,0.548418024928092,0.6607142857142857,0.5776105362182502,0.3783302424150308,0.8882978723404256,0.8696060037523452,0.5503300330033003,0.64,0.5495103373231773
qnli+snli+imdb+squad_v2+winogrande,0.3161764705882353,0.5565749235474006,0.5703971119133574,0.5302013422818792,0.6964285714285714,0.5743179680150517,0.4122173625590738,0.8882978723404256,0.8696060037523452,0.5499174917491749,0.63,0.38411316648531013
qnli+snli+paws+hellaswag+winogrande,0.3161764705882353,0.6131498470948012,0.5631768953068592,0.5244487056567594,0.6785714285714286,0.504233301975541,0.40438223077376745,0.8670212765957447,0.8076923076923077,0.7285478547854786,0.66,0.4619151251360174
qnli+snli+paws+imdb+hellaswag,0.3161764705882353,0.5908256880733945,0.5523465703971119,0.576222435282838,0.6964285714285714,0.577140169332079,0.4165728810178172,0.8962765957446809,0.8621013133208255,0.7013201320132013,0.63,0.5680087051142546
qnli+snli+paws+imdb+squad_v2,0.31862745098039214,0.6039755351681957,0.5631768953068592,0.5234899328859061,0.7142857142857143,0.5776105362182502,0.40774571779646795,0.8962765957446809,0.8696060037523452,0.6827557755775577,0.41,0.10174102285092491
qnli+snli+paws+imdb+winogrande,0.31862745098039214,0.5831804281345566,0.555956678700361,0.5445829338446788,0.7142857142857143,0.577140169332079,0.4387393630584271,0.8909574468085106,0.8658536585365854,0.7007013201320133,0.6,0.44940152339499456
qnli+snli+paws+squad_v2+hellaswag,0.3161764705882353,0.6229357798165137,0.5848375451263538,0.47651006711409394,0.7142857142857143,0.5211665098777046,0.3485051991737777,0.8643617021276596,0.8217636022514071,0.7248349834983498,0.54,0.1501632208922742
qnli+snli+paws+squad_v2+winogrande,0.3161764705882353,0.6143730886850153,0.5703971119133574,0.4429530201342282,0.75,0.5136406396989652,0.3851357307576884,0.8696808510638298,0.8236397748592871,0.7264851485148515,0.43,0.03754080522306855
qnli+snli+squad_v2+hellaswag+winogrande,0.3161764705882353,0.5914373088685015,0.5776173285198556,0.4563758389261745,0.7142857142857143,0.5169332079021637,0.35404588845311824,0.848404255319149,0.8189493433395872,0.6208745874587459,0.72,0.5038084874863983
qnli+sst2+anli_r1+hellaswag+winogrande,0.3161764705882353,0.46605504587155966,0.6750902527075813,0.5465004793863855,0.4107142857142857,0.5315145813734713,0.5918567219540809,0.9148936170212766,0.9108818011257036,0.5831270627062707,0.7,0.6605005440696409
qnli+sst2+anli_r1+imdb+hellaswag,0.31862745098039214,0.46636085626911317,0.6642599277978339,0.6030680728667306,0.4107142857142857,0.5446848541862653,0.42436827919377024,0.9228723404255319,0.9202626641651032,0.49876237623762376,0.71,0.6648531011969532
qnli+sst2+anli_r1+imdb+squad_v2,0.3235294117647059,0.5088685015290519,0.6678700361010831,0.5551294343240653,0.4107142857142857,0.5573847601128881,0.3579651550190366,0.9228723404255319,0.9127579737335835,0.5158828382838284,0.52,0.4809575625680087
qnli+sst2+anli_r1+imdb+winogrande,0.3284313725490196,0.4434250764525994,0.6570397111913358,0.5723873441994247,0.4107142857142857,0.5489181561618062,0.4290379385137714,0.9202127659574468,0.9183864915572233,0.4991749174917492,0.68,0.6381936887921654
qnli+sst2+anli_r1+paws+hellaswag,0.3161764705882353,0.5730886850152905,0.740072202166065,0.5407478427612655,0.4107142857142857,0.5244590780809031,0.6241166609786658,0.9148936170212766,0.9099437148217636,0.7035891089108911,0.67,0.6011969532100109
qnli+sst2+anli_r1+paws+imdb,0.32107843137254904,0.5305810397553516,0.7256317689530686,0.5666347075743049,0.4107142857142857,0.5479774223894638,0.48007911613548987,0.925531914893617,0.9202626641651032,0.6518151815181518,0.59,0.5478781284004353
qnli+sst2+anli_r1+paws+squad_v2,0.32598039215686275,0.5926605504587156,0.7545126353790613,0.5244487056567594,0.4107142857142857,0.5183443085606774,0.4222393149622524,0.9148936170212766,0.900562851782364,0.6926567656765676,0.34,0.18171926006528835
qnli+sst2+anli_r1+paws+winogrande,0.3235294117647059,0.5681957186544343,0.7292418772563177,0.5340364333652924,0.4107142857142857,0.5324553151458138,0.6212187339762356,0.9148936170212766,0.899624765478424,0.70503300330033,0.55,0.4820457018498368
